GPCR	Gs	Gio	Gq11	G1213
ADCYAP1R1	r	#FF8C00	#800080	#FF8C00
ADGRD1	#cfccc6	#cfccc6	#808080	#808080
ADGRE2	#808080	#808080	#cfccc6	#808080
ADGRE5	#808080	#808080	#808080	#cfccc6
ADGRF1	#cfccc6	#808080	#cfccc6	#808080
ADGRF4	#808080	#808080	#cfccc6	#808080
ADGRF5	#808080	#808080	#cfccc6	#808080
ADGRG1	#808080	#808080	#cfccc6	#cfccc6
ADGRG2	#cfccc6	#808080	#cfccc6	#808080
ADGRG3	#cfccc6	#cfccc6	#808080	#808080
ADGRG5	#cfccc6	#808080	#808080	#808080
ADGRG6	#cfccc6	#cfccc6	#808080	#808080
ADGRL1	#cfccc6	#cfccc6	#cfccc6	#808080
ADGRL3	#808080	#808080	#cfccc6	#cfccc6
ADORA1	r	b	#800080	#008000
ADORA2A	r	#FF8C00	#800080	#808080
ADORA2B	r	#FF8C00	#800080	#FF8C00
ADORA3	#808080	b	#FF8C00	#808080
ADRA1A	r	b	#800080	#008000
ADRA1B	#FF8C00	#FF8C00	#800080	#FF8C00
ADRA1D	#FF8C00	#808080	#800080	#808080
ADRA2A	r	b	#800080	#008000
ADRA2B	r	b	#800080	#FF8C00
ADRA2C	#808080	b	#FF8C00	#FF8C00
ADRB1	r	b	#800080	#008000
ADRB2	r	#808080	#FF8C00	#808080
ADRB3	r	#808080	#808080	#808080
AGTR1	#FF8C00	b	#800080	#008000
AGTR2	#808080	#cfccc6	#808080	#808080
APLNR	#808080	b	#FF8C00	#008000
AVPR1A	#FF8C00	b	#800080	#FF8C00
AVPR1B	#FF8C00	#FF8C00	#800080	#FF8C00
AVPR2	r	#FF8C00	#800080	#FF8C00
BDKRB1	#FF8C00	b	#800080	#FF8C00
BDKRB2	r	b	#800080	#008000
BRS3	#808080	#808080	#cfccc6	#808080
C5AR1	#808080	b	#800080	#808080
CALCR	r	#FF8C00	#800080	#FF8C00
CASR	#808080	#cfccc6	#cfccc6	#cfccc6
CCKAR	r	b	#800080	#008000
CCKAR-Gio	r	b	#800080	#008000
CCKBR	#FF8C00	#FF8C00	#800080	#FF8C00
CCR1	#808080	#cfccc6	#808080	#808080
CCR10	#808080	#808080	#808080	#808080
CCR2	#808080	#cfccc6	#808080	#808080
CCR3	#808080	#808080	#808080	#808080
CCR4	#808080	#cfccc6	#808080	#808080
CCR5	#808080	b	#FF8C00	#808080
CCR6	#808080	b	#FF8C00	#FF8C00
CCR7	#808080	#cfccc6	#808080	#808080
CCR8	#808080	#cfccc6	#808080	#808080
CCR9	#808080	#cfccc6	#808080	#808080
CHRM1	r	b	#800080	#FF8C00
CHRM2	r	b	#800080	#FF8C00
CHRM3	#FF8C00	b	#800080	#FF8C00
CHRM4	#FF8C00	b	#800080	#FF8C00
CHRM5	#FF8C00	#FF8C00	#800080	#FF8C00
CMKLR1	#808080	#cfccc6	#808080	#808080
CNR1	#808080	b	#800080	#008000
CNR2	#808080	b	#FF8C00	#808080
CRHR1	r	#FF8C00	#800080	#FF8C00
CRHR2	r	#FF8C00	#800080	#808080
CX3CR1	#808080	#cfccc6	#808080	#808080
CXCR1	#808080	#cfccc6	#cfccc6	#808080
CXCR2	#808080	b	#FF8C00	#808080
CXCR3	#808080	#cfccc6	#808080	#808080
CXCR4	#808080	b	#808080	#808080
CXCR5	#808080	b	#808080	#808080
CXCR6	#808080	#cfccc6	#808080	#808080
CYSLTR1	#FF8C00	b	#800080	#FF8C00
CYSLTR2	#808080	b	#800080	#008000
DRD1	r	b	#FF8C00	#808080
DRD2	#808080	b	#808080	#808080
DRD3	#808080	b	#808080	#808080
DRD4	#808080	b	#808080	#808080
DRD5	r	b	#FF8C00	#808080
EDNRA	r	b	#800080	#FF8C00
EDNRB	r	b	#800080	#FF8C00
F2R	#808080	b	#800080	#008000
F2RL1	#FF8C00	b	#800080	#008000
FFAR1	r	b	#800080	#FF8C00
FFAR2	#FF8C00	b	#800080	#FF8C00
FFAR3	#808080	b	#FF8C00	#008000
FFAR4	#FF8C00	b	#800080	#008000
FPR1	#808080	b	#FF8C00	#808080
FPR2	#808080	b	#800080	#FF8C00
FPR3	#808080	#808080	#808080	#808080
FSHR	#cfccc6	#cfccc6	#cfccc6	#808080
FZD1	#808080	#cfccc6	#cfccc6	#808080
FZD10	#808080	#808080	#808080	#cfccc6
FZD2	#808080	#cfccc6	#808080	#808080
FZD3	#cfccc6	#808080	#808080	#808080
FZD4	#808080	#808080	#808080	#cfccc6
FZD5	#808080	#808080	#cfccc6	#808080
FZD6	#808080	#cfccc6	#cfccc6	#808080
FZD7	#cfccc6	#cfccc6	#808080	#808080
FZD9	#808080	#cfccc6	#808080	#808080
GALR1	#FF8C00	b	#FF8C00	#FF8C00
GALR2	#808080	b	#800080	#008000
GALR3	#808080	b	#808080	#808080
GCGR	r	#FF8C00	#FF8C00	#FF8C00
GCGR-Gio	r	#FF8C00	#FF8C00	#FF8C00
GHRHR	#cfccc6	#808080	#808080	#808080
GHSR	#FF8C00	b	#800080	#008000
GIPR	r	#FF8C00	#FF8C00	#808080
GLP1R	r	#FF8C00	#FF8C00	#FF8C00
GLP2R	r	#FF8C00	#FF8C00	#808080
GNRHR	#FF8C00	b	#800080	#808080
GNRHR2	#808080	#808080	#cfccc6	#808080
GPBAR1	r	#808080	#808080	#808080
GPER1	#cfccc6	#cfccc6	#808080	#808080
GPR101	#cfccc6	#808080	#808080	#808080
GPR119	r	#FF8C00	#FF8C00	#FF8C00
GPR12	#cfccc6	#cfccc6	#808080	#808080
GPR139	#808080	#808080	#cfccc6	#808080
GPR139-Gio	#808080	#808080	#cfccc6	#808080
GPR17	#808080	b	#800080	#FF8C00
GPR18	#808080	#cfccc6	#cfccc6	#808080
GPR183	#808080	b	#FF8C00	#008000
GPR20	#808080	#cfccc6	#808080	#808080
GPR22	#808080	#cfccc6	#808080	#808080
GPR26	#cfccc6	#808080	#808080	#808080
GPR27	#808080	#808080	#808080	#808080
GPR3	#cfccc6	#808080	#808080	#808080
GPR31	#808080	#cfccc6	#808080	#808080
GPR33	#808080	#cfccc6	#808080	#808080
GPR34	#808080	b	#808080	#808080
GPR37	#808080	#cfccc6	#808080	#808080
GPR37L1	#808080	#808080	#808080	#808080
GPR39	#808080	#FF8C00	#800080	#008000
GPR4	r	b	#800080	#808080
GPR55	#808080	#808080	#808080	#008000
GPR6	#cfccc6	#cfccc6	#808080	#808080
GPR65	r	#FF8C00	#808080	#FF8C00
GPR68	#FF8C00	b	#800080	#FF8C00
GPR75	#808080	#808080	#cfccc6	#808080
GPR78	#cfccc6	#808080	#808080	#808080
GPR84	#808080	b	#808080	#808080
GPRC6A	#808080	#808080	#cfccc6	#808080
GRM1	#cfccc6	#cfccc6	#cfccc6	#808080
GRM2	#808080	b	#FF8C00	#808080
GRM3	#808080	#cfccc6	#808080	#808080
GRM4	#808080	b	#808080	#808080
GRM5	#cfccc6	#cfccc6	#cfccc6	#808080
GRM6	#808080	b	#808080	#808080
GRM7	#808080	#cfccc6	#808080	#808080
GRM8	#808080	b	#808080	#808080
GRPR	#808080	#808080	#800080	#808080
HCAR1	#808080	#808080	#808080	#808080
HCAR2	#808080	b	#808080	#FF8C00
HCAR3	#808080	b	#808080	#FF8C00
HCRTR1	r	b	#800080	#808080
HCRTR2	r	b	#800080	#008000
HRH1	r	b	#800080	#008000
HRH2	r	b	#800080	#FF8C00
HRH3	#808080	b	#FF8C00	#FF8C00
HRH4	#808080	b	#FF8C00	#808080
HTR1A	#FF8C00	b	#800080	#FF8C00
HTR1B	#808080	b	#FF8C00	#FF8C00
HTR1D	#808080	b	#FF8C00	#808080
HTR1E	#808080	b	#808080	#808080
HTR1F	#808080	b	#808080	#808080
HTR2A	#FF8C00	b	#800080	#FF8C00
HTR2B	#FF8C00	b	#800080	#FF8C00
HTR2C	#FF8C00	b	#800080	#008000
HTR4	r	#FF8C00	#FF8C00	#008000
HTR5A	#808080	#cfccc6	#cfccc6	#808080
HTR6	r	#FF8C00	#808080	#FF8C00
HTR7	r	#FF8C00	#FF8C00	#FF8C00
KISS1R	#FF8C00	#FF8C00	#800080	#FF8C00
LHCGR	#cfccc6	#808080	#cfccc6	#808080
LPAR1	#808080	b	#800080	#008000
LPAR2	#FF8C00	b	#800080	#008000
LPAR3	#FF8C00	b	#800080	#FF8C00
LPAR4	r	b	#800080	#008000
LPAR5	#808080	#808080	#cfccc6	#cfccc6
LPAR6	r	b	#808080	#008000
LTB4R	#FF8C00	b	#800080	#008000
LTB4R2	#808080	b	#800080	#FF8C00
MAS1	#808080	#cfccc6	#cfccc6	#808080
MC1R	#cfccc6	#808080	#808080	#808080
MC2R	#cfccc6	#808080	#808080	#808080
MC3R	r	b	#FF8C00	#FF8C00
MC4R	r	b	#FF8C00	#FF8C00
MC5R	r	#808080	#FF8C00	#808080
MCHR1	r	b	#800080	#FF8C00
MCHR2	#FF8C00	#FF8C00	#800080	#FF8C00
MLNR	#FF8C00	#FF8C00	#800080	#008000
MRGPRD	#808080	#cfccc6	#cfccc6	#808080
MRGPRX1	#FF8C00	#FF8C00	#800080	#FF8C00
MRGPRX2	#FF8C00	b	#800080	#FF8C00
MRGPRX3	#808080	#808080	#cfccc6	#808080
MRGPRX4	#808080	#808080	#cfccc6	#808080
MTNR1A	#808080	b	#800080	#808080
MTNR1B	#808080	b	#FF8C00	#808080
NMBR	#FF8C00	#FF8C00	#800080	#FF8C00
NMUR1	#FF8C00	#FF8C00	#800080	#FF8C00
NMUR2	#FF8C00	#FF8C00	#800080	#FF8C00
NPBWR1	#808080	b	#808080	#808080
NPBWR2	#808080	#cfccc6	#808080	#808080
NPFFR1	#808080	b	#808080	#808080
NPFFR2	#808080	b	#808080	#808080
NPSR1	#cfccc6	#808080	#cfccc6	#808080
NPY1R	#808080	b	#808080	#808080
NPY2R	#808080	#cfccc6	#cfccc6	#808080
NPY4R	#808080	#cfccc6	#cfccc6	#808080
NPY5R	#808080	b	#808080	#808080
NTSR1	r	b	#800080	#FF8C00
NTSR2	#808080	#808080	#cfccc6	#808080
OPN4	#808080	#cfccc6	#cfccc6	#808080
OPN5	#808080	#cfccc6	#808080	#808080
OPRD1	#808080	b	#800080	#FF8C00
OPRK1	#808080	b	#FF8C00	#008000
OPRL1	#808080	b	#800080	#FF8C00
OPRM1	#808080	b	#800080	#FF8C00
OXER1	#808080	#cfccc6	#808080	#808080
OXGR1	#FF8C00	#FF8C00	#800080	#808080
OXTR	#FF8C00	b	#800080	#808080
P2RY1	#808080	#808080	#800080	#808080
P2RY11	r	#FF8C00	#800080	#FF8C00
P2RY12	#808080	#cfccc6	#808080	#808080
P2RY13	#808080	b	#FF8C00	#FF8C00
P2RY14	#808080	b	#FF8C00	#808080
P2RY2	#808080	b	#800080	#808080
P2RY4	#FF8C00	#FF8C00	#800080	#FF8C00
P2RY6	#808080	#808080	#cfccc6	#cfccc6
PRLHR	#808080	#808080	#808080	#808080
PROKR1	#cfccc6	#808080	#cfccc6	#808080
PROKR2	#cfccc6	#cfccc6	#cfccc6	#808080
PTAFR	#FF8C00	b	#800080	#FF8C00
PTGDR	r	#808080	#FF8C00	#FF8C00
PTGDR2	#808080	#cfccc6	#808080	#808080
PTGER1	#FF8C00	b	#800080	#008000
PTGER2	r	#FF8C00	#FF8C00	#FF8C00
PTGER3	#FF8C00	b	#800080	#008000
PTGER4	r	b	#FF8C00	#FF8C00
PTGFR	r	b	#800080	#008000
PTGIR	r	#808080	#800080	#FF8C00
PTH1R	r	#FF8C00	#800080	#FF8C00
QRFPR	#808080	#cfccc6	#cfccc6	#808080
RXFP1	#cfccc6	#cfccc6	#808080	#808080
RXFP2	#cfccc6	#cfccc6	#808080	#808080
RXFP3	#808080	#cfccc6	#808080	#808080
RXFP4	#808080	#cfccc6	#808080	#808080
S1PR1	#808080	b	#808080	#008000
S1PR2	r	#FF8C00	#800080	#008000
S1PR3	#FF8C00	b	#800080	#008000
S1PR4	#808080	#cfccc6	#808080	#cfccc6
S1PR5	#808080	b	#808080	#008000
SCTR	#808080	#808080	#808080	#808080
SMO	#808080	#cfccc6	#808080	#cfccc6
SSTR1	#808080	b	#FF8C00	#FF8C00
SSTR2	#808080	b	#800080	#FF8C00
SSTR3	#808080	b	#FF8C00	#FF8C00
SSTR4	#808080	b	#FF8C00	#FF8C00
SSTR5	#FF8C00	b	#FF8C00	#FF8C00
SUCNR1	#808080	#cfccc6	#cfccc6	#808080
TAAR1	#cfccc6	#808080	#cfccc6	#808080
TACR1	r	#FF8C00	#800080	#FF8C00
TACR2	r	#FF8C00	#800080	#FF8C00
TACR3	#FF8C00	#FF8C00	#800080	#FF8C00
TBXA2R	#FF8C00	#FF8C00	#800080	#FF8C00
TRHR	#FF8C00	#FF8C00	#800080	#FF8C00
TSHR	#cfccc6	#808080	#cfccc6	#808080
UTS2R	#FF8C00	#FF8C00	#800080	#FF8C00
VIPR1	r	b	#800080	#FF8C00
VIPR2	#cfccc6	#808080	#808080	#808080
XCR1	#808080	#cfccc6	#808080	#808080
