GPCR	class
LGR4	classA
TSHR	classA
RXFP1	classA
RXFP2	classA
LHCGR	classA
FSHR	classA
GPR50	classA
GPR37	classA
GPR153	classA
CHRM3	classA
GPR162	classA
ADRA1D	classA
GPR75	classA
CHRM5	classA
GPR161	classA
NPFFR2	classA
ADRA1B	classA
GPR176	classA
GPR101	classA
GPR135	classA
PTGER4	classA
HRH1	classA
C3AR1	classA
HTR2B	classA
GPR37L1	classA
CHRM4	classA
HTR7	classA
OPN4	classA
DRD5	classA
ADRB1	classA
CNR1	classA
HTR2A	classA
GPR152	classA
RXFP3	classA
ADRA1A	classA
CHRM2	classA
TACR3	classA
ADRA2A	classA
GPR142	classA
ADRA2C	classA
CHRM1	classA
HTR2C	classA
GPR39	classA
GPR61	classA
ADRA2B	classA
CCKBR	classA
DRD1	classA
NPY5R	classA
HRH3	classA
HCRTR2	classA
DRD2	classA
EDNRB	classA
HTR6	classA
GPR150	classA
GPR22	classA
QRFPR	classA
NPFFR1	classA
CCKAR	classA
EDNRA	classA
NMUR1	classA
HCRTR1	classA
F2R	classA
AVPR1B	classA
OXER1	classA
GPR83	classA
MCHR1	classA
HTR1A	classA
GPR151	classA
DRD4	classA
GPR63	classA
NTSR1	classA
SSTR3	classA
AVPR1A	classA
NMUR2	classA
GPR19	classA
ADRB2	classA
MLNR	classA
ADORA2A	classA
NTSR2	classA
ADRB3	classA
TACR1	classA
GPR182	classA
PTGER1	classA
OPN3	classA
DRD3	classA
OPRM1	classA
BRS3	classA
TACR2	classA
TRHR	classA
S1PR5	classA
KISS1R	classA
F2RL1	classA
GPR84	classA
PTGDR2	classA
PROKR1	classA
SSTR1	classA
BDKRB2	classA
PTGER3	classA
HRH4	classA
NMBR	classA
HTR1B	classA
OXTR	classA
UTS2R	classA
SSTR4	classA
HTR4	classA
HCAR3	classA
GALR2	classA
PTGIR	classA
F2RL3	classA
S1PR4	classA
NPY1R	classA
GRPR	classA
GPR88	classA
ACKR2	classA
PROKR2	classA
S1PR1	classA
NPY2R	classA
GPR34	classA
GPR132	classA
APLNR	classA
OPRK1	classA
CCR7	classA
S1PR3	classA
HTR1D	classA
P2RY2	classA
GPR27	classA
NPY4R	classA
GPER1	classA
P2RY11	classA
CCR6	classA
RXFP4	classA
CCR2	classA
F2RL2	classA
GPR173	classA
P2RY1	classA
CMKLR1	classA
OPRD1	classA
LPAR5	classA
GPR45	classA
CXCR5	classA
NPSR1	classA
AVPR2	classA
LPAR4	classA
PRLHR	classA
OPRL1	classA
GPR85	classA
SSTR2	classA
CCR9	classA
GALR3	classA
CXCR3	classA
GPR62	classA
GPR17	classA
HTR1F	classA
GHSR	classA
GPR68	classA
HTR1E	classA
P2RY4	classA
SSTR5	classA
OPN1LW	classA
LPAR1	classA
OPN1MW	classA
HCAR2	classA
GPR78	classA
AGTR2	classA
MTNR1B	classA
GPR4	classA
GPR6	classA
CCR10	classA
ACKR3	classA
GPR52	classA
GPR183	classA
GPR25	classA
FFAR4	classA
GPR15	classA
CCR4	classA
CNR2	classA
CXCR2	classA
PTGDR	classA
P2RY8	classA
HRH2	classA
AGTR1	classA
PTGFR	classA
LTB4R2	classA
GPR87	classA
GPR20	classA
PTGER2	classA
HTR5A	classA
GPR32	classA
CX3CR1	classA
CCR3	classA
CCR1	classA
CMKLR2	classA
CCR8	classA
P2RY13	classA
OPN5	classA
LPAR3	classA
GPR139	classA
GPR139-Gio	classA
BDKRB1	classA
FPR3	classA
S1PR2	classA
LTB4R	classA
CCR5	classA
CXCR4	classA
TAAR2	classA
LPAR2	classA
FPR2	classA
MTNR1A	classA
FPR1	classA
CXCR1	classA
C5AR1	classA
ACKR4	classA
GALR1	classA
GPR21	classA
RHO	classA
OPN1SW	classA
TAAR9	classA
GPR148	classA
GPR42	classA
HCAR1	classA
FFAR3	classA
CYSLTR2	classA
TAAR6	classA
LPAR6	classA
CCRL2	classA
TAAR3P	classA
TBXA2R	classA
CXCR6	classA
P2RY12	classA
TAAR8	classA
PTAFR	classA
MCHR2	classA
P2RY10	classA
TAAR1	classA
P2RY14	classA
OXGR1	classA
GPR65	classA
GPR26	classA
CYSLTR1	classA
C5AR2	classA
TAAR5	classA
GPR82	classA
GPR119	classA
GPR12	classA
SUCNR1	classA
GPR33	classA
GPR146	classA
NPBWR2	classA
GPR174	classA
XCR1	classA
MC4R	classA
ADORA2B	classA
GPR18	classA
MRGPRX2	classA
FFAR2	classA
GPR3	classA
GPBAR1	classA
P2RY6	classA
GNRHR	classA
NPBWR1	classA
ADORA1	classA
MC5R	classA
MAS1	classA
MC3R	classA
MRGPRX4	classA
MRGPRX3	classA
MRGPRX1	classA
MRGPRD	classA
GPR31	classA
GPR55	classA
GPR171	classA
ADORA3	classA
MC1R	classA
MRGPRE	classA
GPR35	classA
GPR141	classA
FFAR1	classA
MC2R	classA
GNRHR2	classA
NPY6R	classA
ADGRG2	classB2
ADGRD2	classB2
ADGRF1	classB2
ADGRE1	classB2
ADGRD1	classB2
ADGRE5	classB2
ADGRE2	classB2
ADGRG7	classB2
ADGRF2	classB2
ADGRF4	classB2
ADGRG1	classB2
ADGRL4	classB2
ADGRE3	classB2
PTH1R	classB1
ADGRA1	classB2
GLP2R	classB1
PTH2R	classB1
ADGRG3	classB2
ADGRG5	classB2
GCGR	classB1
CALCR	classB1
ADCYAP1R1	classB1
GIPR	classB1
GLP1R	classB1
CALCRL	classB1
ADGRE4P	classB2
VIPR1	classB1
CRHR1	classB1
SCTR	classB1
VIPR2	classB1
GHRHR	classB1
CRHR2	classB1
GPR157	Other
GABBR1	classC
GABBR2	classC
GPRC6A	classC
GRM7	classC
GRM4	classC
GRM8	classC
GRM3	classC
GRM6	classC
GRM2	classC
TAS1R3	classC
TAS1R1	classC
TAS1R2	classC
GPR156	classC
GPRC5C	classC
GPRC5B	classC
GPRC5A	classC
GPRC5D	classC
SMO	Frizzeled
FZD6	Frizzeled
FZD8	Frizzeled
FZD3	Frizzeled
FZD1	Frizzeled
FZD9	Frizzeled
FZD5	Frizzeled
FZD10	Frizzeled
FZD7	Frizzeled
FZD2	Frizzeled
FZD4	Frizzeled
LGR6	classA
LGR5	classA
GPR149	classA
GPR107	Other
GPR137	Other
GPR143	Other
MAS1L	classA
TPRA1	Other
MRGPRF	classA
GPR160	classA
ACKR1	classA
MRGPRG	classA
TAS2R39	Taste
TAS2R38	Taste
TAS2R40	Taste
TAS2R30	Taste
TAS2R60	Taste
TAS2R7	Taste
TAS2R14	Taste
TAS2R3	Taste
TAS2R42	Taste
TAS2R9	Taste
TAS2R8	Taste
TAS2R20	Taste
TAS2R46	Taste
TAS2R31	Taste
TAS2R43	Taste
TAS2R41	Taste
TAS2R10	Taste
TAS2R13	Taste
TAS2R5	Taste
TAS2R4	Taste
TAS2R1	Taste
TAS2R50	Taste
TAS2R19	Taste
TAS2R45	Taste
TAS2R16	Taste
CCKAR-Gs	classA
CCKAR-Gio	classA
CCKBR-Gio	classA
GCGR-Gio	classB1
HTR4-Gio	classA

