GPCR	Gs	Gio	Gq11	G1213
ADCYAP1R1	r	#808080	#008000	#808080
ADGRD1	#cfccc6	#cfccc6	#808080	#808080
ADGRE2	#808080	#808080	#cfccc6	#808080
ADGRE5	#808080	#808080	#808080	#cfccc6
ADGRF1	#cfccc6	#808080	#cfccc6	#808080
ADGRF4	#808080	#808080	#cfccc6	#808080
ADGRF5	#808080	#808080	#cfccc6	#808080
ADGRG1	#808080	#808080	#cfccc6	#cfccc6
ADGRG2	#cfccc6	#808080	#cfccc6	#808080
ADGRG3	#cfccc6	#cfccc6	#808080	#808080
ADGRG5	#cfccc6	#808080	#808080	#808080
ADGRG6	#cfccc6	#cfccc6	#808080	#808080
ADGRL1	#cfccc6	#cfccc6	#cfccc6	#808080
ADGRL3	#808080	#808080	#cfccc6	#cfccc6
ADORA1	r	b	#008000	#800080
ADORA2A	r	#808080	#008000	#808080
ADORA2B	r	#808080	#008000	#808080
ADORA3	#808080	b	#808080	#808080
ADRA1A	r	b	#008000	#800080
ADRA1B	#808080	#808080	#008000	#808080
ADRA1D	#808080	#808080	#008000	#808080
ADRA2A	r	b	#008000	#800080
ADRA2B	r	b	#008000	#808080
ADRA2C	#808080	b	#808080	#808080
ADRB1	r	b	#008000	#800080
ADRB2	r	#808080	#808080	#808080
ADRB3	r	#808080	#808080	#808080
AGTR1	#808080	b	#008000	#800080
AGTR2	#808080	#cfccc6	#808080	#808080
APLNR	#808080	b	#808080	#800080
AVPR1A	#808080	b	#008000	#808080
AVPR1B	#808080	#808080	#008000	#808080
AVPR2	r	#808080	#008000	#808080
BDKRB1	#808080	b	#008000	#808080
BDKRB2	r	b	#008000	#800080
BRS3	#808080	#808080	#cfccc6	#808080
C5AR1	#808080	b	#008000	#808080
CALCR	r	#808080	#008000	#808080
CASR	#808080	#cfccc6	#cfccc6	#cfccc6
CCKAR	r	b	#008000	#800080
CCKAR-Gio	r	b	#008000	#800080
CCKAR-Gs	r	b	#008000	#800080
CCKBR	#808080	#808080	#008000	#808080
CCKBR-Gio	#808080	#808080	#008000	#808080
CCR1	#808080	#cfccc6	#808080	#808080
CCR10	#808080	#808080	#808080	#808080
CCR2	#808080	#cfccc6	#808080	#808080
CCR3	#808080	#808080	#808080	#808080
CCR4	#808080	#cfccc6	#808080	#808080
CCR5	#808080	b	#808080	#808080
CCR6	#808080	b	#808080	#808080
CCR7	#808080	#cfccc6	#808080	#808080
CCR8	#808080	#cfccc6	#808080	#808080
CCR9	#808080	#cfccc6	#808080	#808080
CHRM1	r	b	#008000	#808080
CHRM2	r	b	#008000	#808080
CHRM3	#808080	b	#008000	#808080
CHRM4	#808080	b	#008000	#808080
CHRM5	#808080	#808080	#008000	#808080
CMKLR1	#808080	#cfccc6	#808080	#808080
CNR1	#808080	b	#008000	#800080
CNR2	#808080	b	#808080	#808080
CRHR1	r	#808080	#008000	#808080
CRHR2	r	#808080	#008000	#808080
CX3CR1	#808080	#cfccc6	#808080	#808080
CXCR1	#808080	#cfccc6	#cfccc6	#808080
CXCR2	#808080	b	#808080	#808080
CXCR3	#808080	#cfccc6	#808080	#808080
CXCR4	#808080	b	#808080	#808080
CXCR5	#808080	b	#808080	#808080
CXCR6	#808080	#cfccc6	#808080	#808080
CYSLTR1	#808080	b	#008000	#808080
CYSLTR2	#808080	b	#008000	#800080
DRD1	r	b	#808080	#808080
DRD2	#808080	b	#808080	#808080
DRD3	#808080	b	#808080	#808080
DRD4	#808080	b	#808080	#808080
DRD5	r	b	#808080	#808080
EDNRA	r	b	#008000	#808080
EDNRB	r	b	#008000	#808080
F2R	#808080	b	#008000	#800080
F2RL1	#808080	b	#008000	#800080
FFAR1	r	b	#008000	#808080
FFAR2	#808080	b	#008000	#808080
FFAR3	#808080	b	#808080	#800080
FFAR4	#808080	b	#008000	#800080
FPR1	#808080	b	#808080	#808080
FPR2	#808080	b	#008000	#808080
FPR3	#808080	#808080	#808080	#808080
FSHR	#cfccc6	#cfccc6	#cfccc6	#808080
FZD1	#808080	#cfccc6	#cfccc6	#808080
FZD10	#808080	#808080	#808080	#cfccc6
FZD2	#808080	#cfccc6	#808080	#808080
FZD3	#cfccc6	#808080	#808080	#808080
FZD4	#808080	#808080	#808080	#cfccc6
FZD5	#808080	#808080	#cfccc6	#808080
FZD6	#808080	#cfccc6	#cfccc6	#808080
FZD7	#cfccc6	#cfccc6	#808080	#808080
FZD9	#808080	#cfccc6	#808080	#808080
GALR1	#808080	b	#808080	#808080
GALR2	#808080	b	#008000	#800080
GALR3	#808080	b	#808080	#808080
GCGR	r	#808080	#808080	#808080
GCGR-Gio	r	#808080	#808080	#808080
GHRHR	#cfccc6	#808080	#808080	#808080
GHSR	#808080	b	#008000	#800080
GIPR	r	#808080	#808080	#808080
GLP1R	r	#808080	#808080	#808080
GLP2R	r	#808080	#808080	#808080
GNRHR	#808080	b	#008000	#808080
GNRHR2	#808080	#808080	#cfccc6	#808080
GPBAR1	r	#808080	#808080	#808080
GPER1	#cfccc6	#cfccc6	#808080	#808080
GPR101	#cfccc6	#808080	#808080	#808080
GPR119	r	#808080	#808080	#808080
GPR12	#cfccc6	#cfccc6	#808080	#808080
GPR139	#808080	#808080	#cfccc6	#808080
GPR17	#808080	b	#008000	#808080
GPR18	#808080	#cfccc6	#cfccc6	#808080
GPR183	#808080	b	#808080	#800080
GPR20	#808080	#cfccc6	#808080	#808080
GPR22	#808080	#cfccc6	#808080	#808080
GPR26	#cfccc6	#808080	#808080	#808080
GPR27	#808080	#808080	#808080	#808080
GPR3	#cfccc6	#808080	#808080	#808080
GPR31	#808080	#cfccc6	#808080	#808080
GPR33	#808080	#cfccc6	#808080	#808080
GPR34	#808080	b	#808080	#808080
GPR37	#808080	#cfccc6	#808080	#808080
GPR37L1	#808080	#808080	#808080	#808080
GPR39	#808080	#808080	#008000	#800080
GPR4	r	b	#008000	#808080
GPR55	#808080	#808080	#808080	#800080
GPR6	#cfccc6	#cfccc6	#808080	#808080
GPR65	r	#808080	#808080	#808080
GPR68	#808080	b	#008000	#808080
GPR75	#808080	#808080	#cfccc6	#808080
GPR78	#cfccc6	#808080	#808080	#808080
GPR84	#808080	b	#808080	#808080
GPRC6A	#808080	#808080	#cfccc6	#808080
GRM1	#cfccc6	#cfccc6	#cfccc6	#808080
GRM2	#808080	b	#808080	#808080
GRM3	#808080	#cfccc6	#808080	#808080
GRM4	#808080	b	#808080	#808080
GRM5	#cfccc6	#cfccc6	#cfccc6	#808080
GRM6	#808080	b	#808080	#808080
GRM7	#808080	#cfccc6	#808080	#808080
GRM8	#808080	b	#808080	#808080
GRPR	#808080	#808080	#008000	#808080
HCAR1	#808080	#808080	#808080	#808080
HCAR2	#808080	b	#808080	#808080
HCAR3	#808080	b	#808080	#808080
HCRTR1	r	b	#008000	#808080
HCRTR2	r	b	#008000	#800080
HRH1	r	b	#008000	#800080
HRH2	r	b	#008000	#808080
HRH3	#808080	b	#808080	#808080
HRH4	#808080	b	#808080	#808080
